source,target,status,rule,confidence
/en/coleccion/colombia/junta-conversion/,/en/collection/colombia/conversion-board/,301,existing,high
/en/coleccion/colombia/medio-peso-oro-1953/,/en/collection/colombia/medio-peso-oro-1953/,301,existing,high
/en/coleccion/colombia/tiquete-estudiantil-15-centavos/,/en/collection/colombia/tiquete-estudiantil-15-centavos/,301,existing,high
/en/coleccion/colombia/tiquetes/,/en/collection/colombia/tickets/,301,existing,high
/en/coleccion/ecuador/,/en/collection/ecuador/,301,existing,high
/en/coleccion/ecuador/100-sucres-1993,/en/collection/ecuador/,301,existing,high
/en/coleccion/espana/,/en/collection/spain/,301,existing,high
/en/coleccion/estados-unidos-numismatica/,/en/collection/united-states-numismatics/,301,existing,high
/en/coleccion/estados-unidos-numismatica/1-dolar-trump-1776-2026/,/en/collection/united-states-numismatics/1-dollar-trump-1776-2026/,301,existing,high
/en/coleccion/estados-unidos/,/en/collection/united-states/,301,existing,high
/en/coleccion/estados-unidos/1-dolar-certificado-plata-1957b/,/en/collection/united-states/1-dollar-silver-certificate-1957b/,301,existing,high
/en/coleccion/estados-unidos/1-dolar-serie-2003-atlanta/,/en/collection/united-states/1-dollar-series-2003-atlanta/,301,existing,high
/en/coleccion/estados-unidos/1-dolar-state-bank-new-brunswick/,/en/collection/united-states/1-dollar-state-bank-new-brunswick/,301,existing,high
/en/coleccion/estados-unidos/10-dolares-serie-1934-chicago/,/en/collection/united-states/10-dollars-series-1934-chicago/,301,existing,high
/en/coleccion/estados-unidos/10-dolares-serie-1934a-chicago/,/en/collection/united-states/10-dollars-series-1934a-chicago/,301,existing,high
/en/coleccion/estados-unidos/10-dolares-serie-1934a-cleveland/,/en/collection/united-states/10-dollars-series-1934a-cleveland/,301,existing,high
/en/coleccion/estados-unidos/10-dolares-serie-1934d-richmond/,/en/collection/united-states/10-dollars-series-1934d-richmond/,301,existing,high
/en/coleccion/estados-unidos/1000-dolares-serie-1934a-nueva-york/,/en/collection/united-states/1000-dollars-series-1934a-new-york/,301,existing,high
/en/coleccion/estados-unidos/2-dolares-serie-2003-san-luis/,/en/collection/united-states/2-dollars-series-2003-st-louis/,301,existing,high
/en/coleccion/estados-unidos/20-dolares-confederados-1864/,/en/collection/united-states/20-dollars-confederate-1864/,301,existing,high
/en/coleccion/estados-unidos/5-dolares-city-bank-new-haven/,/en/collection/united-states/5-dollars-city-bank-new-haven/,301,existing,high
/en/coleccion/estados-unidos/5-dolares-confederados-1864/,/en/collection/united-states/5-dollars-confederate-1864/,301,existing,high
/en/coleccion/estados-unidos/5-dolares-continental-1779/,/en/collection/united-states/5-dollars-continental-1779/,301,existing,high
/en/coleccion/estados-unidos/500-dolares-serie-1934a-nueva-york/,/en/collection/united-states/500-dollars-series-1934a-new-york/,301,existing,high
/en/coleccion/estados-unidos/miscelaneos/,/en/collection/united-states/miscellaneous/,301,existing,high
/en/coleccion/estados-unidos/miscelaneos/1-dolar-serie-2006-dallas-wheres-george/,/en/collection/united-states/miscellaneous/1-dollar-series-2006-dallas-wheres-george/,301,existing,high
/en/coleccion/estados-unidos/miscelaneos/nota-prueba-giori-lincoln-memorial/,/en/collection/united-states/miscellaneous/giori-test-note-lincoln-memorial/,301,existing,high
/en/coleccion/estados-unidos/miscelaneos/scrip-baraboo-jubileo-1933/,/en/collection/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/,301,existing,high
/en/coleccion/estados-unidos/miscelaneos/scrip-baraboo-jubileo-1933/1-dolar-ringling-bros-a2002/,/en/collection/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/1-dollar-ringling-bros-a2002/,301,existing,high
/en/coleccion/estados-unidos/miscelaneos/scrip-baraboo-jubileo-1933/10-centavos-chas-ringling-a2844/,/en/collection/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/10-cents-chas-ringling-a2844/,301,existing,high
/en/coleccion/estados-unidos/miscelaneos/scrip-baraboo-jubileo-1933/15-centavos-al-t-ringling-a2819/,/en/collection/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/15-cents-al-t-ringling-a2819/,301,existing,high
/en/coleccion/estados-unidos/miscelaneos/scrip-baraboo-jubileo-1933/5-centavos-john-ringling-a4895/,/en/collection/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/5-cents-john-ringling-a4895/,301,existing,high
/en/coleccion/estados-unidos/mpc-vietnam/,/en/collection/united-states/mpc-vietnam/,301,existing,high
